iter	Passed	Remaining
0	152	152141
1	160	79945
2	168	55975
3	177	44169
4	184	36667
5	193	32099
6	200	28463
7	207	25710
8	215	23779
9	222	22060
10	232	20903
11	238	19671
12	247	18810
13	254	17898
14	262	17269
15	269	16566
16	277	16073
17	284	15511
18	292	15101
19	299	14655
20	305	14256
21	314	13967
22	320	13614
23	329	13405
24	336	13110
25	346	12970
26	352	12714
27	361	12552
28	368	12321
29	376	12179
30	382	11971
31	391	11830
32	397	11658
33	406	11538
34	414	11429
35	425	11386
36	432	11247
37	441	11180
38	449	11069
39	457	10991
40	464	10861
41	472	10782
42	479	10671
43	485	10558
44	493	10479
45	499	10367
46	510	10352
47	521	10339
48	529	10267
49	539	10249
50	546	10173
51	555	10119
52	561	10037
53	569	9981
54	576	9902
55	582	9818
56	591	9784
57	597	9707
58	606	9674
59	612	9598
60	621	9568
61	627	9496
62	636	9462
63	643	9415
64	651	9376
65	658	9318
66	664	9253
67	673	9224
68	679	9163
69	687	9139
70	694	9080
71	702	9049
72	708	8994
73	714	8935
74	722	8910
75	728	8857
76	737	8837
77	743	8787
78	752	8772
79	759	8728
80	766	8699
81	773	8658
82	779	8612
83	788	8596
84	794	8550
85	802	8532
86	808	8487
87	816	8462
88	822	8422
89	828	8378
90	837	8369
91	843	8327
92	852	8312
93	858	8272
94	867	8260
95	873	8226
96	880	8198
97	887	8169
98	893	8133
99	902	8126
100	909	8094
101	917	8079
102	923	8042
103	931	8027
104	937	7993
105	943	7960
106	952	7950
107	958	7915
108	967	7909
109	975	7892
110	985	7895
111	992	7868
112	1000	7855
113	1006	7823
114	1014	7808
115	1023	7797
116	1033	7800
117	1041	7782
118	1051	7787
119	1060	7780
120	1069	7769
121	1079	7767
122	1086	7745
123	1093	7723
124	1100	7704
125	1106	7675
126	1116	7672
127	1122	7647
128	1131	7637
129	1137	7610
130	1145	7599
131	1151	7573
132	1157	7547
133	1165	7533
134	1171	7506
135	1181	7503
136	1187	7479
137	1196	7473
138	1202	7447
139	1210	7433
140	1216	7411
141	1222	7385
142	1231	7377
143	1236	7351
144	1245	7341
145	1250	7317
146	1259	7309
147	1265	7285
148	1271	7260
149	1280	7258
150	1286	7234
151	1294	7223
152	1301	7205
153	1310	7197
154	1316	7175
155	1323	7163
156	1330	7144
157	1336	7121
158	1344	7112
159	1350	7089
160	1358	7078
161	1364	7058
162	1370	7038
163	1378	7029
